date,region,reason
1936-08-28,Ahmedabad,Economy
2020-07-14,Mumbai,Health
2020-12-26,Pune,Natural Calamity
2020-04-23,Mumbai,Natural Calamity
2020-02-20,Mumbai,Social Issues
2020-03-15,Delhi,Economy
2017-02-08,Mumbai,Health
2022-08-09,Ahmedabad,Economy
2019-08-08,Mumbai,Natural Calamity
1988-08-28,Ahmedabad,Economy
2021-05-21,Chennai,Natural Calamity
2022-02-09,Bangalore,Economy
1990-06-01,Hyderabad,Economy
2021-08-18,Chennai,Health
2021-02-03,Hyderabad,Economy
2020-09-20,Delhi,Health
2018-05-13,Delhi,Health
2020-10-17,Bangalore,Economy
2020-09-02,Delhi,Health
2020-05-11,Delhi,Economy
2020-05-02,Hyderabad,Economy
2016-02-23,Delhi,Natural Calamity
2022-01-10,Bangalore,Economy
2022-06-27,Hyderabad,Economy
2020-02-10,Mumbai,Social Issues
2021-01-01,Delhi,Health
2020-02-23,Lucknow,Social Issues
2020-09-29,Mumbai,Economy
2022-01-01,Jaipur,Economy
2019-06-23,Pune,Economy
2020-10-10,Mumbai,Health
2022-11-11,Mumbai,Health
2021-12-29,Delhi,Economy
2017-04-12,Delhi,Economy
2022-03-01,Bangalore,Health
2021-07-28,Bangalore,Economy
2021-06-26,Bangalore,Economy
1993-01-01,Delhi,Election
2021-05-18,Bangalore,Natural Calamity
2018-11-11,Mumbai,Natural Calamity
2020-08-18,Delhi,Economy
2021-05-05,Chennai,Health
2021-06-09,Mumbai,Economy
2018-11-08,Hyderabad,Economy
2018-01-24,Delhi,Economy
2020-09-03,Chennai,Social Issues
2020-04-20,Delhi,Social Issues
2021-11-19,Delhi,Social Issues
2019-06-14,Mumbai,Election
2021-07-28,Lucknow,Economy
2020-05-17,Pune,Health
2023-03-10,Chennai,Social Issues
2020-07-21,Mumbai,Economy
2022-07-14,Pune,Economy
2020-08-27,Delhi,Economy
2021-03-06,Delhi,Economy
2020-03-29,Delhi,Economy
2019-11-15,Delhi,Natural Calamity
2022-09-08,Delhi,Economy
2022-12-25,Mumbai,Social Issues
2019-09-17,Delhi,Economy
2021-12-30,Mumbai,Natural Calamity
2022-04-26,Hyderabad,Natural Calamity
2022-04-22,Delhi,Economy
2020-06-30,Mumbai,Election
2020-02-19,Bangalore,Economy
2021-03-12,Chennai,Economy
2021-08-05,Delhi,Economy
2019-06-25,Ahmedabad,Economy
2022-11-04,Bangalore,Natural Calamity
2021-05-12,Delhi,Election
2021-06-27,Mumbai,Health
2022-07-01,Hyderabad,Health
2023-01-27,Hyderabad,Election
2021-03-01,Mumbai,Social Issues
2021-06-06,Delhi,Social Issues
2023-06-17,Mumbai,Election
2022-11-30,Delhi,Health
2022-05-12,Bangalore,Natural Calamity
2021-03-20,Mumbai,Natural Calamity
2020-06-03,Kolkata,Economy
2022-02-06,Bangalore,Election
2020-08-28,Chennai,Health
2021-01-20,Kolkata,Economy
2021-04-06,Delhi,Social Issues
2022-01-18,Delhi,Health
2020-07-22,Delhi,Health
2021-11-11,Hyderabad,Social Issues
2018-05-08,Delhi,Economy
2021-03-30,Delhi,Economy
2019-11-02,Delhi,Election
2020-02-01,Mumbai,Election
2021-01-15,Delhi,Election
2020-09-27,Pune,Economy
2020-03-22,Mumbai,Social Issues
2022-09-20,Mumbai,Health
2021-02-03,Delhi,Natural Calamity
2020-03-21,Bangalore,Social Issues
2021-09-28,Delhi,Election
2021-07-14,Mumbai,Economy
2021-08-26,Mumbai,Health
2015-04-27,Mumbai,Social Issues
2020-01-18,Mumbai,Economy
1989-11-27,Hyderabad,Natural Calamity
2022-06-11,Pune,Economy
2017-01-01,Hyderabad,Economy
2022-11-30,Jaipur,Election
2022-06-01,Mumbai,Economy
2019-04-27,Mumbai,Natural Calamity
2021-01-19,Kolkata,Natural Calamity
1947-11-15,Delhi,Health
2018-08-23,Mumbai,Natural Calamity
2021-10-02,Bangalore,Health
2022-10-28,Ahmedabad,Natural Calamity
2021-01-14,Delhi,Social Issues
2020-06-16,Delhi,Economy
2021-03-14,Delhi,Social Issues
2014-04-11,Delhi,Economy
2020-07-19,Mumbai,Economy
2019-06-28,Delhi,Health
2022-08-14,Hyderabad,Social Issues
2014-05-17,Delhi,Natural Calamity
2020-09-12,Delhi,Economy
2018-02-16,Jaipur,Social Issues
2019-07-04,Mumbai,Election
1989-01-01,Bangalore,Election
2022-04-27,Delhi,Health
2018-12-28,Pune,Economy
1997-02-23,Delhi,Economy
1999-03-11,Pune,Economy
2022-03-12,Mumbai,Social Issues
2022-02-23,Delhi,Economy
1993-03-22,Bangalore,Health
2020-08-04,Delhi,Economy
2020-01-02,Mumbai,Economy
2020-05-23,Delhi,Health
2020-02-24,Ahmedabad,Economy
2021-05-15,Hyderabad,Election
2022-05-12,Mumbai,Economy
2020-05-19,Chennai,Election
2016-11-20,Mumbai,Economy
2020-06-24,Mumbai,Social Issues
2020-03-16,Mumbai,Economy
1994-09-21,Kolkata,Social Issues
2020-07-30,Bangalore,Economy
2020-02-12,Mumbai,Economy
2020-02-27,Mumbai,Social Issues
2022-03-25,Hyderabad,Natural Calamity
2021-06-04,Delhi,Social Issues
2022-04-12,Bangalore,Election
2019-08-01,Hyderabad,Election
2014-09-13,Bangalore,Natural Calamity
2019-01-16,Bangalore,Natural Calamity
2017-10-11,Bangalore,Health
2019-06-02,Chennai,Health
2020-08-20,Chennai,Economy
2018-07-15,Ahmedabad,Economy
2019-06-25,Mumbai,Economy
2020-07-27,Delhi,Social Issues
2020-08-13,Mumbai,Social Issues
1997-03-06,Mumbai,Natural Calamity
2015-04-21,Mumbai,Economy
2021-06-08,Mumbai,Health
2021-05-05,Ahmedabad,Economy
2021-09-12,Bangalore,Economy
2020-01-01,Delhi,Economy
2018-11-14,Delhi,Natural Calamity
1919-12-02,Chennai,Economy
2021-06-24,Delhi,Health
2018-08-26,Chennai,Natural Calamity
2019-10-12,Lucknow,Election
2019-12-07,Delhi,Social Issues
2021-03-19,Mumbai,Natural Calamity
2020-09-25,Kolkata,Election
2019-05-25,Kolkata,Economy
2021-02-25,Delhi,Economy
2022-06-19,Delhi,Economy
2021-03-05,Mumbai,Economy
2022-12-09,Delhi,Economy
2021-05-30,Delhi,Economy
2021-09-25,Delhi,Economy
2021-09-28,Lucknow,Economy
2020-10-09,Hyderabad,Health
2021-02-28,Mumbai,Economy
2020-08-25,Hyderabad,Natural Calamity
2020-04-10,Lucknow,Natural Calamity
2018-07-11,Mumbai,Health
2022-03-16,Delhi,Economy
1921-06-25,Delhi,Health
2020-08-20,Chennai,Health
2020-05-17,Delhi,Economy
2019-04-14,Bangalore,Economy
2020-05-23,Chennai,Election
2020-03-09,Bangalore,Natural Calamity
2022-01-13,Mumbai,Economy
1999-10-03,Chennai,Election
2018-11-02,Mumbai,Natural Calamity
2018-01-24,Delhi,Economy
2022-04-01,Bangalore,Health
2019-06-29,Mumbai,Social Issues
2020-04-25,Kolkata,Economy
1979-01-12,Delhi,Natural Calamity
2020-03-11,Ahmedabad,Economy
2020-11-28,Hyderabad,Economy
2021-12-02,Delhi,Social Issues
2020-05-24,Pune,Economy
2020-02-14,Delhi,Election
2020-05-04,Bangalore,Economy
2019-01-24,Ahmedabad,Economy
2014-01-15,Chennai,Economy
1996-07-01,Bangalore,Natural Calamity
2021-11-29,Delhi,Health
2021-04-09,Delhi,Health
2020-04-16,Pune,Social Issues
2020-05-01,Delhi,Health
2019-08-22,Delhi,Natural Calamity
2020-02-16,Delhi,Election
2022-01-29,Mumbai,Health
2022-04-27,Mumbai,Election
2021-05-19,Mumbai,Health
2020-07-20,Delhi,Economy
2021-05-20,Mumbai,Economy
2020-08-25,Mumbai,Economy
2022-08-15,Bangalore,Health
2022-03-20,Chennai,Natural Calamity
2020-04-16,Delhi,Economy
2016-01-19,Delhi,Natural Calamity
2022-01-05,Bangalore,Economy
2022-06-17,Mumbai,Economy
2022-01-01,Pune,Natural Calamity
2022-11-23,Delhi,Election
2021-07-19,Delhi,Health
2021-04-12,Ahmedabad,Natural Calamity
2021-06-07,Hyderabad,Economy
2021-06-13,Delhi,Election
2021-05-19,Bangalore,Social Issues
1988-10-10,Delhi,Economy
2021-07-27,Bangalore,Economy
2021-05-19,Bangalore,Economy
2021-07-09,Mumbai,Election
2020-06-09,Ahmedabad,Election
2019-07-29,Ahmedabad,Health
2022-01-23,Mumbai,Natural Calamity
1998-02-12,Chennai,Economy
2019-07-04,Mumbai,Social Issues
2020-03-05,Delhi,Economy
2021-03-23,Delhi,Election
2021-09-19,Bangalore,Economy
2020-07-29,Kolkata,Social Issues
2018-08-05,Delhi,Natural Calamity
1995-12-31,Delhi,Economy
2019-01-01,Bangalore,Health
2018-09-26,Delhi,Economy
2016-08-10,Bangalore,Election
1975-12-12,Chennai,Economy
2021-05-24,Delhi,Economy
2019-04-03,Mumbai,Economy
2021-01-02,Mumbai,Economy
2021-01-24,Chennai,Social Issues
2021-03-23,Mumbai,Natural Calamity
2020-02-26,Mumbai,Election
2017-03-19,Hyderabad,Election
2020-11-04,Delhi,Election
2019-07-23,Bangalore,Economy
2020-01-20,Delhi,Health
2022-11-09,Lucknow,Health
2016-01-11,Hyderabad,Economy
2023-05-04,Delhi,Health
2021-06-20,Ahmedabad,Natural Calamity
2020-06-28,Bangalore,Health
2018-05-28,Kolkata,Election
2021-08-09,Bangalore,Economy
2017-04-09,Pune,Election
2020-08-13,Delhi,Natural Calamity
2020-07-07,Delhi,Election
2021-04-19,Delhi,Health
2020-09-27,Bangalore,Economy
2019-01-22,Mumbai,Natural Calamity
1991-09-25,Delhi,Health
2020-07-30,Delhi,Economy
2020-11-16,Mumbai,Election
2020-04-15,Delhi,Economy
2019-04-17,Chennai,Election
2021-09-27,Delhi,Election
1908-05-15,Delhi,Economy
2021-12-09,Delhi,Health
1999-06-26,Chennai,Natural Calamity
2018-06-06,Delhi,Health
1998-08-22,Delhi,Economy
2022-03-05,Hyderabad,Economy
2022-07-29,Mumbai,Natural Calamity
2023-01-08,Delhi,Social Issues
2022-01-18,Delhi,Economy
2021-04-24,Mumbai,Election
2020-01-18,Delhi,Economy
2019-09-16,Mumbai,Economy
2020-12-07,Delhi,Health
2019-06-21,Mumbai,Natural Calamity
2020-09-16,Hyderabad,Election
2020-03-18,Delhi,Economy
2020-08-03,Hyderabad,Natural Calamity
2021-04-08,Mumbai,Health
2020-09-19,Pune,Election
2017-12-05,Ahmedabad,Economy
2020-04-21,Bangalore,Natural Calamity
2020-01-14,Delhi,Social Issues
2021-04-20,Hyderabad,Economy
2021-06-06,Delhi,Health
2020-11-23,Delhi,Social Issues
2023-04-16,Bangalore,Economy
2015-11-13,Mumbai,Social Issues
2020-08-24,Chennai,Social Issues
2022-05-04,Kolkata,Election
2020-09-22,Delhi,Social Issues
1965-05-18,Mumbai,Social Issues
2022-01-27,Ahmedabad,Election
2021-08-14,Pune,Economy
1999-01-04,Bangalore,Social Issues
2022-07-25,Ahmedabad,Natural Calamity
2021-04-23,Delhi,Economy
1993-09-22,Pune,Election
2020-04-26,Delhi,Natural Calamity
2019-04-27,Delhi,Economy
2021-07-21,Mumbai,Social Issues
2019-08-08,Hyderabad,Health
2020-11-27,Delhi,Natural Calamity
2021-03-07,Kolkata,Natural Calamity
2020-09-19,Hyderabad,Health
2015-01-21,Delhi,Social Issues
2019-10-22,Mumbai,Social Issues
2022-06-06,Hyderabad,Economy
2021-02-28,Mumbai,Natural Calamity
2020-10-29,Chennai,Health
2020-04-16,Mumbai,Health
2021-07-17,Delhi,Social Issues
1997-03-02,Delhi,Natural Calamity
2022-10-10,Delhi,Health
2018-05-01,Mumbai,Social Issues
2021-01-11,Delhi,Economy
2021-07-29,Mumbai,Natural Calamity
2019-02-19,Delhi,Economy
2020-10-28,Delhi,Economy
2021-04-28,Delhi,Natural Calamity
2021-03-29,Delhi,Natural Calamity
2019-07-13,Delhi,Natural Calamity
2016-12-24,Delhi,Health
2018-06-22,Kolkata,Economy
2020-04-04,Delhi,Health
2019-06-28,Delhi,Social Issues
2020-06-11,Delhi,Economy
2020-07-27,Lucknow,Social Issues
2021-10-12,Delhi,Economy
2020-07-21,Mumbai,Election
2020-11-12,Bangalore,Natural Calamity
2018-04-20,Mumbai,Economy
2018-01-22,Delhi,Health
2020-03-21,Lucknow,Health
2020-06-07,Mumbai,Natural Calamity
2022-10-17,Ahmedabad,Natural Calamity
2020-05-12,Delhi,Economy
2021-11-29,Delhi,Economy
2020-11-14,Mumbai,Natural Calamity
2015-01-01,Mumbai,Natural Calamity
2021-10-02,Bangalore,Economy
2020-04-03,Delhi,Natural Calamity
2021-07-02,Mumbai,Social Issues
2017-06-25,Chennai,Economy
2021-03-12,Ahmedabad,Social Issues
2021-06-15,Delhi,Economy
2020-05-20,Pune,Social Issues
2020-12-28,Pune,Economy
2020-07-02,Mumbai,Economy
2018-02-11,Delhi,Economy
2021-10-24,Hyderabad,Social Issues
2022-12-29,Delhi,Natural Calamity
2019-07-01,Pune,Election
2022-01-23,Bangalore,Economy
2018-09-07,Ahmedabad,Social Issues
2019-02-16,Hyderabad,Economy
2020-03-03,Ahmedabad,Economy
2021-10-27,Mumbai,Health
2017-07-01,Bangalore,Natural Calamity
2020-01-16,Pune,Natural Calamity
2020-12-16,Delhi,Economy
2021-01-06,Hyderabad,Social Issues
2021-12-08,Mumbai,Election
2020-08-13,Mumbai,Economy
2021-02-14,Bangalore,Economy
2018-05-21,Ahmedabad,Economy
2015-11-06,Delhi,Health
2019-09-06,Bangalore,Natural Calamity
2021-08-16,Mumbai,Social Issues
2022-02-26,Ahmedabad,Economy
2020-02-22,Mumbai,Social Issues
2020-07-25,Mumbai,Social Issues
2021-03-12,Delhi,Economy
2017-01-26,Delhi,Economy
2020-04-12,Bangalore,Social Issues
2020-04-25,Bangalore,Social Issues
2020-02-12,Delhi,Election
2020-09-13,Hyderabad,Social Issues
2022-02-24,Bangalore,Economy
2020-09-22,Delhi,Economy
2019-03-05,Delhi,Economy
1997-08-01,Hyderabad,Election
2022-11-21,Delhi,Economy
2020-06-05,Pune,Social Issues
2022-03-04,Delhi,Social Issues
2020-07-22,Mumbai,Economy
1910-09-28,Delhi,Economy
2020-08-10,Bangalore,Natural Calamity
1999-01-13,Delhi,Election
2021-01-19,Mumbai,Social Issues
2020-03-22,Hyderabad,Health
2018-05-13,Bangalore,Election
2018-08-10,Bangalore,Natural Calamity
2021-01-20,Hyderabad,Natural Calamity
2020-09-24,Hyderabad,Health
2018-02-14,Hyderabad,Election
1987-04-22,Chennai,Economy
2019-01-01,Mumbai,Natural Calamity
2022-06-16,Ahmedabad,Economy
2021-02-03,Kolkata,Natural Calamity
2021-03-01,Lucknow,Election
2019-12-16,Bangalore,Social Issues
2022-05-24,Lucknow,Economy
2020-04-10,Bangalore,Economy
2022-05-10,Mumbai,Election
2021-03-26,Delhi,Election
2021-03-21,Delhi,Natural Calamity
2022-01-13,Delhi,Health
2017-03-15,Delhi,Election
2021-06-17,Delhi,Social Issues
2022-08-21,Chennai,Health
2017-07-09,Hyderabad,Economy
2021-07-20,Delhi,Economy
2022-06-19,Mumbai,Election
2022-03-23,Mumbai,Health
1997-08-10,Bangalore,Social Issues
2020-04-18,Mumbai,Social Issues
2021-06-13,Delhi,Health
2022-05-20,Delhi,Economy
2018-11-14,Delhi,Economy
2020-06-27,Ahmedabad,Health
2020-02-01,Chennai,Health
2019-02-28,Hyderabad,Economy
2021-03-28,Chennai,Election
2020-09-04,Mumbai,Natural Calamity
2022-11-08,Mumbai,Natural Calamity
2021-08-30,Delhi,Economy
2021-08-03,Bangalore,Social Issues
2021-10-01,Kolkata,Social Issues
2020-04-01,Lucknow,Social Issues
2022-08-14,Delhi,Election
2021-10-27,Mumbai,Health
2021-05-27,Ahmedabad,Economy
2021-06-16,Hyderabad,Economy
1981-06-20,Delhi,Natural Calamity
2019-10-28,Delhi,Economy
2021-06-01,Delhi,Natural Calamity
2021-05-16,Mumbai,Natural Calamity
1922-04-25,Bangalore,Economy
2021-01-11,Hyderabad,Election
2019-12-28,Mumbai,Economy
2021-06-28,Bangalore,Election
2022-08-23,Ahmedabad,Social Issues
2021-02-11,Chennai,Social Issues
2018-07-05,Hyderabad,Social Issues
1971-12-17,Mumbai,Social Issues
2021-08-27,Bangalore,Economy
2020-08-22,Mumbai,Natural Calamity
1990-01-16,Pune,Natural Calamity
2019-05-14,Delhi,Economy
2022-06-22,Delhi,Natural Calamity
2021-01-12,Delhi,Health
2018-09-13,Mumbai,Social Issues
2016-10-22,Lucknow,Economy
2021-03-01,Delhi,Economy
2020-02-29,Mumbai,Economy
2020-07-20,Hyderabad,Social Issues
2017-04-20,Delhi,Election
2014-09-06,Lucknow,Economy
2019-08-28,Mumbai,Natural Calamity
2021-04-29,Bangalore,Economy
2023-01-06,Mumbai,Natural Calamity
2020-09-15,Mumbai,Election
2021-05-10,Hyderabad,Social Issues
2021-06-26,Delhi,Election
2021-01-16,Mumbai,Economy
2021-01-24,Mumbai,Health
2013-02-09,Delhi,Natural Calamity
2010-10-31,Ahmedabad,Natural Calamity
2021-01-26,Delhi,Health
2021-06-10,Delhi,Health
2020-02-15,Delhi,Economy
2020-06-17,Delhi,Social Issues
2020-04-23,Delhi,Social Issues
2022-05-17,Mumbai,Social Issues
2018-08-03,Pune,Health
2023-03-01,Delhi,Social Issues
2019-07-25,Delhi,Natural Calamity
2019-03-05,Delhi,Natural Calamity
2020-02-16,Hyderabad,Election
2021-08-16,Bangalore,Natural Calamity
2017-06-03,Ahmedabad,Economy
2020-08-23,Kolkata,Health
2019-01-23,Kolkata,Natural Calamity
2020-07-16,Kolkata,Economy
2020-02-29,Mumbai,Health
2018-03-15,Bangalore,Health
2020-06-01,Mumbai,Health
1903-03-31,Delhi,Economy
2018-07-26,Delhi,Economy
2022-06-04,Hyderabad,Natural Calamity
2020-08-02,Delhi,Social Issues
2019-08-22,Jaipur,Election
2020-07-20,Bangalore,Health
2021-05-08,Hyderabad,Election
2019-07-30,Pune,Economy
2020-12-15,Delhi,Election
2021-08-14,Bangalore,Social Issues
2020-01-02,Hyderabad,Health
2020-03-17,Delhi,Natural Calamity
2022-02-04,Delhi,Health
2020-04-13,Mumbai,Economy
2020-09-08,Lucknow,Economy
2021-12-24,Mumbai,Election
2018-06-05,Hyderabad,Natural Calamity
2021-01-02,Pune,Health
2018-08-13,Ahmedabad,Election
2020-08-23,Hyderabad,Health
2020-01-01,Bangalore,Natural Calamity
2021-04-12,Bangalore,Natural Calamity
2021-06-02,Bangalore,Health
2020-05-22,Chennai,Health
2020-06-28,Delhi,Economy
2020-07-03,Pune,Election
1951-01-31,Ahmedabad,Election
2022-02-02,Ahmedabad,Health
2017-03-25,Kolkata,Election
2019-03-08,Delhi,Health
2020-12-08,Mumbai,Economy
1979-10-17,Delhi,Health
1999-09-08,Delhi,Election
1977-10-24,Delhi,Social Issues
2019-09-06,Delhi,Election
2021-04-20,Mumbai,Health
2021-12-11,Delhi,Election
2021-03-14,Delhi,Health
2017-05-18,Hyderabad,Economy
2020-09-30,Delhi,Election
2020-05-21,Delhi,Health
2022-09-20,Mumbai,Health
2021-05-18,Delhi,Economy
2020-03-27,Kolkata,Economy
2021-10-17,Delhi,Election
2020-03-06,Delhi,Economy
2020-09-03,Chennai,Health
2020-04-23,Delhi,Economy
2018-10-03,Bangalore,Natural Calamity
2021-02-15,Hyderabad,Election
2022-04-14,Kolkata,Health
2021-01-05,Hyderabad,Natural Calamity
2020-12-01,Kolkata,Health
2020-08-19,Bangalore,Natural Calamity
2018-01-08,Delhi,Economy
2020-12-22,Bangalore,Economy
2020-11-07,Chennai,Economy
2020-07-23,Delhi,Economy
2019-09-11,Delhi,Election
2021-03-23,Mumbai,Economy
2020-07-28,Delhi,Election
2021-06-18,Delhi,Economy
2022-10-30,Delhi,Economy
1970-01-19,Mumbai,Economy
2022-05-11,Ahmedabad,Economy
2018-05-05,Delhi,Social Issues
2018-11-23,Ahmedabad,Election
2021-02-03,Bangalore,Health
2020-04-06,Mumbai,Natural Calamity
2020-04-18,Delhi,Health
2022-06-17,Bangalore,Economy
2018-03-25,Mumbai,Economy
2018-07-23,Delhi,Social Issues
1971-01-07,Mumbai,Health
1981-11-20,Mumbai,Social Issues
2019-05-10,Delhi,Economy
2022-04-25,Hyderabad,Election
2020-11-21,Kolkata,Economy
2018-06-18,Bangalore,Social Issues
2020-09-11,Hyderabad,Election
1905-08-24,Bangalore,Health
2020-04-01,Ahmedabad,Social Issues
2021-10-10,Delhi,Economy
2021-01-23,Ahmedabad,Economy
2021-07-01,Delhi,Economy
2020-11-29,Bangalore,Election
2022-07-12,Kolkata,Natural Calamity
2021-04-06,Bangalore,Economy
1985-01-14,Delhi,Health
2023-05-15,Delhi,Election
2021-01-30,Mumbai,Election
2021-01-12,Hyderabad,Economy
2021-04-27,Delhi,Election
2019-02-23,Mumbai,Natural Calamity
2019-09-12,Delhi,Natural Calamity
2022-04-23,Delhi,Health
2022-05-21,Delhi,Social Issues
2020-07-30,Delhi,Natural Calamity
2022-08-12,Kolkata,Economy
1993-10-12,Bangalore,Economy
2022-04-03,Delhi,Health
2020-05-10,Delhi,Natural Calamity
2020-09-07,Bangalore,Election
2019-06-03,Delhi,Economy
2020-09-12,Hyderabad,Economy
2020-03-29,Delhi,Economy
2020-11-25,Mumbai,Natural Calamity
2021-04-16,Chennai,Natural Calamity
2021-03-16,Ahmedabad,Health
2022-07-27,Delhi,Social Issues
2021-06-05,Chennai,Election
2021-06-18,Delhi,Election
2019-09-03,Hyderabad,Election
2022-02-23,Bangalore,Economy
2018-02-17,Chennai,Health
2022-05-25,Ahmedabad,Health
2020-11-20,Delhi,Economy
2021-07-16,Delhi,Health
2021-01-07,Delhi,Election
1999-12-31,Delhi,Economy
2021-11-03,Delhi,Health
2023-03-28,Delhi,Election
2023-05-19,Ahmedabad,Health
2021-03-31,Chennai,Social Issues
2013-01-09,Mumbai,Social Issues
2021-02-19,Mumbai,Economy
2018-02-26,Delhi,Social Issues
2020-05-01,Mumbai,Health
2022-02-04,Bangalore,Election
2021-04-26,Delhi,Economy
2018-06-29,Delhi,Economy
2020-01-28,Delhi,Economy
2020-05-14,Delhi,Election
2021-05-11,Lucknow,Health
2021-09-21,Mumbai,Natural Calamity
2020-06-18,Mumbai,Election
2021-03-18,Pune,Natural Calamity
2021-02-28,Delhi,Election
2021-06-10,Delhi,Election
2021-09-28,Mumbai,Election
2020-10-16,Bangalore,Social Issues
2019-10-18,Delhi,Natural Calamity
2022-11-07,Ahmedabad,Health
2020-05-29,Delhi,Election
2018-02-18,Delhi,Election
2021-04-06,Delhi,Economy
2023-03-21,Mumbai,Economy
2020-05-07,Mumbai,Health
1995-06-17,Kolkata,Health
2022-08-17,Delhi,Natural Calamity
2022-10-03,Chennai,Economy
1978-10-18,Delhi,Health
2019-01-01,Delhi,Social Issues
2020-11-29,Delhi,Economy
2018-08-28,Delhi,Social Issues
2019-09-04,Delhi,Election
1994-08-15,Delhi,Natural Calamity
2023-02-06,Delhi,Social Issues
2018-04-05,Delhi,Natural Calamity
2020-05-09,Delhi,Health
2015-09-20,Bangalore,Natural Calamity
1971-11-11,Mumbai,Election
2020-12-21,Delhi,Health
2022-04-25,Chennai,Economy
2021-11-06,Hyderabad,Economy
2020-06-29,Delhi,Health
2020-09-03,Kolkata,Social Issues
2019-01-21,Hyderabad,Economy
2021-09-15,Hyderabad,Economy
2020-02-29,Mumbai,Economy
2020-07-04,Ahmedabad,Natural Calamity
2020-12-13,Bangalore,Economy
2020-03-23,Delhi,Economy
2020-05-11,Delhi,Natural Calamity
2020-05-01,Delhi,Health
2020-06-24,Delhi,Natural Calamity
2018-08-03,Mumbai,Economy
2019-04-05,Delhi,Economy
2021-04-16,Bangalore,Natural Calamity
2019-01-16,Delhi,Health
2020-05-16,Hyderabad,Economy
2015-06-30,Ahmedabad,Economy
